City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
203,Ituango,CO,7.1712,-75.764,75.45,62,49,3.11,scattered clouds
204,Tiksi,RU,71.6872,128.8694,-11.42,92,100,16.06,overcast clouds
205,Kommunar,RU,59.6206,30.39,36.52,90,99,11.41,light snow
206,Lewistown,US,40.5992,-77.5714,49.42,84,75,11.5,broken clouds
207,Kirensk,RU,57.7853,108.1119,-21.17,100,93,2.35,overcast clouds
208,Yeppoon,AU,-23.1333,150.7333,73.18,66,0,12.39,clear sky
209,Thompson,CA,55.7435,-97.8558,-7.44,77,100,11.5,overcast clouds
210,Rocha,UY,-34.4833,-54.3333,82.15,38,0,10.27,clear sky
211,Lidkoping,SE,58.5052,13.1577,40.89,3,40,13.82,scattered clouds
212,Listvyanka,RU,51.8535,104.8693,-14.53,92,100,5.41,overcast clouds
213,Upernavik,GL,72.7868,-56.1549,-7.6,91,100,5.44,overcast clouds
214,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,78,75,3.44,broken clouds
215,Norman Wells,CA,65.282,-126.8329,-5.76,65,100,3.44,overcast clouds
216,Northam,GB,51.0333,-4.2167,48.02,72,46,19.6,scattered clouds
217,Kaitangata,NZ,-46.2817,169.8464,57.33,96,94,3.65,overcast clouds
218,Codrington,AU,-38.2667,141.9667,56.95,77,4,8.16,clear sky
219,Clyde River,CA,70.4692,-68.5914,-18.17,76,100,10.36,light snow
220,Khatanga,RU,71.9667,102.5,1.2,92,100,15.32,overcast clouds
221,Vestmannaeyjar,IS,63.4427,-20.2734,32.99,93,75,17.27,broken clouds
222,Wanning,CN,18.8003,110.3967,69.6,94,18,5.64,few clouds
223,Touros,BR,-5.1989,-35.4608,90.5,51,56,12.53,broken clouds
224,Hofn,IS,64.2539,-15.2082,24.82,63,20,10.36,few clouds
225,Coihaique,CL,-45.5752,-72.0662,57.81,38,40,8.05,scattered clouds
226,Mahebourg,MU,-20.4081,57.7,80.26,83,40,5.75,scattered clouds
227,Kutum,SD,14.2,24.6667,72.32,9,0,10.49,clear sky
228,Roros,NO,62.5747,11.3842,22.84,63,40,6.91,scattered clouds
